文件命名,上传人,状态,编导,上传类型
0508-199双科-自产-自产二-莉娜-曲中雨-子衿-A6-B2-无-1,hancg,未同步,子衿,拒审后二次上传
0508-199双科-自产-自产二-莉娜-曲中雨-子衿-A5-B1-无-2,hancg,未同步,子衿,拒审后二次上传
0508-199双科-自产-自产二-莉娜-曲中雨-子衿-A2-B2-无-3,hancg,未同步,子衿,拒审后二次上传
0603-9物-自产-自产主-李博-曲中雨-子衿-A7-B1-有-7-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A7-B1-无-7-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A5-B2-有-1-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A5-B2-无-1-直播间,jiazijinbj,已投放,子衿,新素材
0520-199双科-自产-自产主-李博-曲中雨-子衿-A5-B1-无-5,hancg,未同步,子衿,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-子衿-A5-B1-有-5,hancg,未同步,子衿,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-子衿-A7-B1-无-2,hancg,未同步,子衿,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-子衿-A7-B1-有-2,hancg,未同步,子衿,拒审后二次上传
0521-9物-自产-自产主--曲中雨-子衿-A7方法优势-B2提分刚需-有-1-迭代2,jiazijinbj,已投放,子衿,新素材
0521-9物-自产-自产主--曲中雨-子衿-A7方法优势-B2提分刚需-有-1-迭代1,jiazijinbj,已投放,子衿,新素材
0521-9物-自产-自产主--曲中雨-子衿-A7方法优势-B2提分刚需-无-1,jiazijinbj,已投放,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B2-有-7,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B2-有-3,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B2-无-7,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B2-无-3,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B1-有-10,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B1-有-2,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B1-无-10,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A7-B1-无-2,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A5-B2-有-9,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A5-B2-有-1,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A5-B2-无-9,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A5-B2-无-1,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A5-B1-有-8,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A5-B1-无-8,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A2-B4-有-5,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A2-B4-无-5,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A2-B3-有-6,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A2-B3-有-4,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A2-B3-无-6,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产主-李博-曲中雨-子衿-A2-B3-无-4,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A7-B2-有-7,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A7-B2-无-7,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A7-B2-无-3,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A7-B1-有-10,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A7-B1-有-2,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A7-B1-无-10,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A7-B1-无-2,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A5-B2-有-9,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A5-B2-有-1,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A5-B2-无-9,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A5-B2-无-1,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A5-B1-有-8,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A5-B1-无-8,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A2-B4-有-5,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A2-B4-无-5,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A2-B3-有-6,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A2-B3-有-4,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A2-B3-无-6,jiazijinbj,未同步,子衿,新素材
0527-199双科-自产-自产二-李博-曲中雨-子衿-A2-B3-无-4,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A7-B1-有-5-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A7-B1-无-5-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A6-B2-有-6-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A6-B2-有-3-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A6-B2-无-6-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A6-B2-无-3-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A5-B1-有-2-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A5-B1-无-2-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A3-B1-有-10-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A3-B1-有-8-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A3-B1-有-4-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A3-B1-无-10-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A3-B1-无-8-直播间,jiazijinbj,已投放,子衿,新素材
0603-9物-自产-自产主-李博-曲中雨-子衿-A3-B1-无-4-直播间,jiazijinbj,已投放,子衿,新素材
6月4日 (3)(5),jiazijinbj,已同步,子衿,新素材
6月4日 (3)(3),jiazijinbj,已同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B1-有-10-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B2-无-9-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-无-7-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-无-5-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B2-无-3-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B2-无-1-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B1-无-2-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-无-8-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-无-4-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B1-有-10-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B2-无-9-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-无-7-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-无-5-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B2-无-6-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B2-无-3-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B1-无-10-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B2-无-1-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B1-无-2-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-无-8-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-无-4-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B2-有-9-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-有-7-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-有-5-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B2-有-6-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B2-有-3-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B2-有-1-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B1-有-2-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-有-8-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-有-4-WQ-直播间,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B2-有-9-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-有-7-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A7-B1-有-5-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B2-有-6-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A6-B2-有-3-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B2-有-1-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A5-B1-有-2-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-有-8-WQ-信息流,jiazijinbj,未同步,子衿,新素材
0603-9物-自产-自产二-李博-巽阳-子衿-A3-B1-有-4-WQ-信息流,jiazijinbj,未同步,子衿,新素材
6月4日 (3)(4),jiazijinbj,已同步,子衿,新素材
6月4日 (3)(9),jiazijinbj,已同步,子衿,新素材
6月4日 (3)(8),jiazijinbj,已同步,子衿,新素材
6月4日 (3)(7),jiazijinbj,已同步,子衿,新素材
6月4日 (3)(6),jiazijinbj,已同步,子衿,新素材
6月4日 (3)(2),jiazijinbj,已同步,子衿,新素材
6月4日 (3)(1),jiazijinbj,已同步,子衿,新素材
6月4日 (3),jiazijinbj,已同步,子衿,新素材
0521-状元笔记-自产-自产主--曲中雨-子衿-A7-B2-有-4,hancg,未同步,子衿,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-子衿-A7-B2-无-4,hancg,未同步,子衿,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-子衿-A3-B2-有-3,hancg,未同步,子衿,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-子衿-A3-B2-无-3,hancg,未同步,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A6-B3-有-9,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A6-B1-有-5,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A6-B1-有-1,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A5-B2-有-7,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A5-B2-有-3,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A5-B2-有-2,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A5-B1-有-10,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A2-B2-有-8,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产二-李博-曲中雨-子衿-A6-B3-有-9,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产二-李博-曲中雨-子衿-A6-B1-有-5,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产二-李博-曲中雨-子衿-A5-B2-有-7,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产二-李博-曲中雨-子衿-A5-B2-有-2,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A6-B3-无-9,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A6-B2-无-4,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A6-B1-无-5,hancg,已投放,子衿,拒审后二次上传
0527-9物-自产-自产主-李博-曲中雨-子衿-A5-B2-无-7,hancg,已投放,子衿,拒审后二次上传
